ID,漁港名,フリガナ,区分,住所,緯度,経度,補足
2710010,二川,ﾌﾀｶﾞﾜ,1,豊橋市,34.66895479,137.4563386,
2710020,高豊,ﾀｶﾄﾖ,1,豊橋市,34.6545474,137.3830986,
2710025,伊川津,ｲｶﾜﾂﾞ,1,田原市,34.654954,137.12953,
2710050,姫島,ﾋﾒｼﾞﾏ,1,田原市,34.68956428,137.2407346,
2710060,宇津江,ｳﾂﾞｴ,1,田原市,34.661343,137.178137,
2710068,御馬,ｵﾝﾏ,1,豊川市,34.80002454,137.314283,
2710080,宮崎,ﾐﾔｻﾞｷ,1,西尾市,34.77694411,137.0917162,
2710090,衣崎,ｺﾛﾓｻﾞｷ,1,西尾市,34.77600307,137.0307333,
2710095,味沢,ｱｼﾞｻﾜ,1,西尾市,34.81446919,136.9978629,
2710100,寺津,ﾃﾗﾂﾞ,1,西尾市,34.838819,137.010923,
2710110,蜆川,ｼｼﾞﾐｶﾞﾜ,1,碧南市,34.853261,136.967037,
2710120,河和,ｺｳﾜ,1,知多郡美浜町,34.765214,136.9226,
2710130,上野間,ｶﾐﾉﾏ,1,知多郡美浜町,34.80407414,136.8573608,
2710135,小鈴谷,ｺｽｶﾞﾔ,1,常滑市,34.828817,136.864825,
2710140,豊丘,ﾄﾖｵｶ,1,知多郡南知多町,34.74391558,136.9467394,
2710145,山海,ﾔﾏﾐ,1,知多郡南知多町,34.7197349,136.8927386,
2710150,大野,ｵｵﾉ,1,常滑市,34.93277926,136.8218435,
2720010,福江,ﾌｸｴ,2,田原市,34.649556,137.0908049,
2720030,知柄,ﾁｶﾞﾗ,2,蒲郡市,34.78003691,137.1753357,
2720040,西幡豆,ﾆｼﾊｽﾞ,2,西尾市,34.787439,137.113416,
2720050,佐久島,ｻｸｼﾏ,2,西尾市(佐久島）,34.72022813,137.0435485,
2720060,一色,ｲｯｼｷ,2,西尾市,34.78972805,137.01357,
2720070,栄生,ｴｲｾｲ,2,西尾市,34.826043,137.005091,
2720080,大浜,ｵｵﾊﾏ,2,碧南市,34.87187,136.97648,
2720090,大井,ｵｵｲ,2,知多郡南知多町,34.72075238,136.9646921,
2720100,日間賀,ﾋﾏｶ,2,知多郡南知多町,34.70815175,137.0021369,
2720110,篠島,ｼﾉｼﾞﾏ,2,（日間賀島）,34.68149872,137.0045145,
2720120,師崎,ﾓﾛｻﾞｷ,2,知多郡南知多町,34.71009985,136.9727124,
2720130,苅屋,ｶﾘﾔ,2,（篠島）,34.85447667,136.8560945,
2720140,鬼崎,ｵﾆｻﾞｷ,2,知多郡南知多町,34.90494123,136.8217472,
2730010,三谷,ﾐﾔ,3,常滑市,34.81175737,137.2433667,
2730020,形原,ｶﾀﾊﾗ,3,常滑市,34.79179175,137.1914472,
2730030,豊浜,ﾄﾖﾊﾏ,3,蒲郡市,34.70486355,136.9362887,
2740010,赤羽根,ｱｶﾊﾞﾈ,4,蒲郡市,34.6031475,137.184099,
,,,,,,,
,,,,,,,